223,Judo Women's Half-Middleweight
224,Athletics Men's Decathlon
225,Biathlon Men's 10 kilometres Sprint
226,Biathlon Men's 20 kilometres
227,Biathlon Men's 4 x 7.5 kilometres Relay
228,Freestyle Skiing Men's Moguls
229,Wrestling Men's Middleweight A Greco-Roman
230,Athletics Women's Discus Throw
231,Swimming Women's 4 x 100 metres Freestyle Relay
232,Athletics Women's 1500 metres
233,Shooting Women's Air Pistol 10 metres
234,Shooting Women's Sporting Pistol 25 metres
235,Canoeing Men's Kayak Doubles 500 metres
236,Canoeing Men's Kayak Singles 500 metres
237,Canoeing Men's Kayak Singles 1000 metres
238,Shooting Men's Running Target 50 metres
239,Judo Women's Half-Heavyweight
240,Athletics Women's Pole Vault
241,Rugby Sevens Women's Rugby Sevens
242,Table Tennis Men's Team
243,Figure Skating Mixed Pairs
244,Freestyle Skiing Men's Aerials
245,Rowing Women's Coxed Eights
246,Athletics Women's 4 x 400 metres Relay
247,Alpine Skiing Women's Giant Slalom
248,Alpine Skiing Women's Super G
249,Cross Country Skiing Women's 5 kilometres
250,Cross Country Skiing Women's 10 kilometres
251,Cross Country Skiing Women's 20 kilometres
252,Cycling Men's 1000 metres Time Trial
253,Cycling Men's Individual Pursuit 4000 metres
254,Wrestling Men's Welterweight Freestyle
255,Wrestling Men's Bantamweight Greco-Roman
256,Rowing Women's Lightweight Double Sculls
257,Athletics Women's 800 metres
258,Rowing Women's Coxed Quadruple Sculls
259,Biathlon Men's 12.5 kilometres Pursuit
260,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay
261,Rhythmic Gymnastics Women's Individual
262,Canoeing Men's Kayak Singles Slalom
263,Archery Men's Individual
264,Archery Men's Team
265,Speed Skating Women's 1500 metres
266,Speed Skating Women's Team Pursuit (6 laps)
267,Cross Country Skiing Men's Sprint
268,Athletics Women's 400 metres
269,Figure Skating Women's Singles
270,Speed Skating Men's 1000 metres
271,Trampolining Men's Individual
272,Beach Volleyball Men's Beach Volleyball
