146,Gold,2008 Summer,Lautaro Germn Acosta,Argentina,Football Men's Football
147,Bronze,2008 Summer,Osmay Acosta Duarte,Cuba,Boxing Men's Heavyweight
148,Bronze,1952 Summer,Martn Ral Acosta y Lara Daz,Uruguay,Basketball Men's Basketball
149,Bronze,1980 Summer,Kazimierz Piotr Adach,Poland,Boxing Men's Lightweight
150,Gold,1936 Summer,"Gordon Belgum ""Gordy"" Adam",United States,Rowing Men's Coxed Eights
151,Silver,1976 Summer,Ji Adam,Czechoslovakia,Modern Pentathlon Men's Team
152,Gold,2006 Winter,"Michael B. ""Mike"" Adam",Canada,Curling Men's Curling
153,Bronze,1936 Summer,Otto Adam,Germany,"Fencing Men's Foil, Team"
154,Gold,1948 Summer,Pierre Louis Eugne Adam,France,"Cycling Men's Team Pursuit, 4,000 metres"
155,Silver,1992 Summer,Dariusz Adamczuk,Poland,Football Men's Football
156,Silver,1912 Summer,"Benjamin Willard ""Ben"" Adams",United States,Athletics Men's Standing High Jump
157,Bronze,1912 Summer,"Benjamin Willard ""Ben"" Adams",United States,Athletics Men's Standing Long Jump
158,Silver,1904 Summer,Edgar Holmes Adams,United States,Swimming Men's Plunge For Distance
159,Gold,1912 Summer,Harry Lester Adams,United States,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team"
160,Silver,1980 Summer,Adrian Neil Adams,Great Britain,Judo Men's Lightweight
161,Silver,1984 Summer,Adrian Neil Adams,Great Britain,Judo Men's Half-Middleweight
162,Gold,2012 Summer,Nicola Virginia Adams,Great Britain,Boxing Women's Flyweight
163,Gold,2016 Summer,Nicola Virginia Adams,Great Britain,Boxing Women's Flyweight
164,Gold,1912 Summer,Platt Adams,United States,Athletics Men's Standing High Jump
165,Silver,1912 Summer,Platt Adams,United States,Athletics Men's Standing Long Jump
166,Bronze,2016 Summer,Rachael Alexis Adams,United States,Volleyball Women's Volleyball
167,Bronze,2014 Winter,"Victoria ""Vicki"" Adams",Great Britain,Curling Women's Curling
168,Gold,2008 Summer,Valerie Kasanita Adams-Vili (-Price),New Zealand,Athletics Women's Shot Put
169,Gold,2012 Summer,Valerie Kasanita Adams-Vili (-Price),New Zealand,Athletics Women's Shot Put
170,Silver,2016 Summer,Valerie Kasanita Adams-Vili (-Price),New Zealand,Athletics Women's Shot Put
171,Gold,2012 Summer,Filip Kamil Adamski,Germany,Rowing Men's Coxed Eights
172,Gold,1936 Summer,Herbert Adamski,Germany,Rowing Men's Coxed Pairs
173,Silver,1960 Summer,Jerzy Adamski,Poland,Boxing Men's Featherweight
174,Bronze,1992 Summer,Simon Addo,Ghana,Football Men's Football
175,Bronze,1920 Summer,Eugene Addor,Switzerland,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team"
176,Silver,2008 Summer,Olubayo Adefemi,Nigeria,Football Men's Football
177,Silver,2008 Summer,"Ayodele ""Dele"" Adeleye",Nigeria,Football Men's Football
178,Silver,1984 Summer,Ademir Roque Kaefer,Brazil,Football Men's Football
179,Silver,1988 Summer,Ademir Roque Kaefer,Brazil,Football Men's Football
180,Silver,1992 Summer,Olapade Charles Adeniken,Nigeria,Athletics Men's 4 x 100 metres Relay
